A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
0.004907985,-0.007518832,0.003613356,0.000228972,-0.002239555,0.005555225,0.008098707,0.006800375,0.024019885,-0.003371
-0.00040808,-0.007575794,0.004405207,-0.00205886,0.011289568,-0.001078686,-0.007843271,0.006510241,-0.018720376,0.004246821
0.008130126,0.015094626,0.007390063,0.003885216,-0.000484693,0.002399586,0.005833352,0.022175896,-0.005113163,-0.010831105
0.003838776,0.036768848,0.010482662,0.00273335,0.001979743,0.01039526,0.02758524,0.009415299,-0.00278314,0.000123831
-0.002018572,0.017889565,-0.014307729,-0.005416986,-0.003917959,0.015951975,0.014229743,-0.018978278,0.000703264,0.00845671
0.000807918,-0.025135973,-0.002055177,-0.00734706,-0.001287079,-0.016405467,-0.015500544,-0.014893902,0.023294919,-0.011177464
0.000807265,0.003629768,0.004593845,0.005572144,0.009055365,-0.016504113,-0.028147358,0.002388576,-0.025408268,-0.003082807
0.005833266,0,-0.00339937,-0.003615784,-0.003202737,-0.003437945,-0.011523249,-0.007875554,0,-0.015757976
0.001202646,-0.010929071,-0.002782788,0.001781572,-0.007180931,0.006034533,0.01726006,0.012955911,0.001328517,-0.014080502
0.008179597,0.003656311,0.022029246,-0.022929255,-0.005531968,-0.005557061,-0.036913643,-0.014028031,-0.01964915,-0.005363221
-0.002187967,-0.014706147,-0.00691551,0.004101281,-0.002236157,0.009921923,0.025656623,-0.012290795,-0.01755525,-0.006280014
0.010695289,-0.033901552,0.010498885,-0.003925288,0.004477325,-0.010942449,-0.038045236,-0.004427884,-0.000953903,-0.015820333
-0.006522407,-0.02718614,0.002826965,0.000938676,0.007196712,0.006221604,0.000559802,0.006417653,-0.004264416,-0.011789318
0.005734074,0.019493795,0.009151731,0.010328024,-0.001974554,0.023415018,0.064043062,0.018877385,0.033005004,0.008886896
0.002559812,0.048974005,-0.003521664,-0.006289207,-0.010457931,-0.001134776,0.010169963,-0.01194356,-0.024300203,0.009317561
0.004904375,-0.003683245,0.011390977,-0.007859014,0.000120463,-0.014502628,-0.043414404,-0.004776323,0.004949462,-0.004786094
-0.005691312,-0.076665882,0.005442063,-0.005549665,-0.004810743,0.00685539,0.016912491,0.000209863,-0.005410316,0.002331819
0.008232112,-0.008000043,0.007747152,-0.009040211,0.002501455,-0.023778731,-0.048208095,-0.02255802,-0.024182562,-0.009641708
-0.002345125,0.015936592,-0.004321344,0.010519181,0.010192069,-0.012397813,-0.039835557,-0.004844736,-0.001721329,-0.022066865
0.006241487,0.015686596,0,0.001122659,-0.000601578,0,0,-0.005726415,-0.014807063,0
-0.011341537,-0.00781254,-0.010387957,-0.000531869,0.001648508,-0.001829101,-0.00269098,-0.01051121,0.005180587,-0.010797541
0.003141569,-0.068992871,0.017019944,0.000354077,-0.003212344,0.010036369,-0.002050363,0.015253575,-0.016941933,0.02079876
-0.012824483,-0.051735674,-0.013963358,0.00224305,-0.001563174,-0.001501698,0.012022916,0.013709219,0.022549264,0.018909822
-0.013594772,0.00881063,-0.018443107,0.013404465,0.006747291,0.01241569,0.029691154,0.01929376,-0.011690189,0.014538889
0.004819286,0.004376375,-0.003228367,0.002032864,0.001654491,-0.004687322,0.002508811,0.006275058,-0.011612124,-0.00635745
-0.008853177,0.004357305,-0.019045987,-0.000406329,0.000159679,-0.001511071,0.00441709,-0.020339082,0.006365168,0.016447155
-0.006488263,0.021506205,-0.0008194,-0.00804369,-0.004068329,-0.005523859,0.009466074,0.002606517,-0.011421391,-0.021480821
0.008103772,0,0.010522939,-0.000994881,-0.000401994,-0.009494912,-0.013654778,0.002820651,0.006319848,-0.010685351
0.00442924,0.016878038,0.006851978,-0.001993897,0.008962523,0.011300106,0.017081831,0.001050867,0.022452027,0.006955743
0.007205796,-0.008403411,0.005222843,0.006436524,0.003330902,0.008671002,0.026880522,-0.007988059,0.007951279,0.000465441
-0.005800596,0.008403411,0.003599901,0.004538526,-0.000976047,0.003428325,0.005630716,0.007499898,-0.009776095,0.008532575
0.00440353,-0.004192878,-0.003218345,0.001101572,0.00603419,-0.004895193,-0.020808228,-0.009102013,-0.007265363,0.01728672
0.002393777,-0.025533302,-0.002043019,-0.00395112,0.007717932,-0.004527107,-0.00577806,-0.017608253,-0.00439053,0.027608001
0.012867643,0.017094433,0.007198797,-0.008535726,-0.003331672,-0.017656575,-0.045027026,-0.015727118,0.001808329,0.030921302
-0.002757536,0.016807118,-0.003611965,-0.00288243,-0.001683553,-0.011411764,-0.033949403,0.014560547,-0.00129756,0.001901262
-0.001776725,0.016529302,0.007173115,-0.00863425,0.000450251,0.001163236,0.002990379,-0.019872731,-0.029647794,-0.004051664
0.001184834,0.020284671,0.014715533,0.007809596,0.009108564,-0.008391102,-0.026570476,-0.004997019,-0.015286511,-0.005795657
0.002955958,0,-0.007987846,0.002296007,0.006979388,-0.009441752,-0.034769394,0.003671751,0.011435765,0.019408233
-0.007505467,0.008000043,-0.011580041,-0.004183219,-0.004200856,0.005441731,0.030758925,-0.001410823,0.007762676,0.011854281
-0.005965418,-0.028284714,0.002391211,0.001474433,0.001992836,-0.010604736,-0.010481477,-0.009213466,-0.000543312,-0.003751864
0.01090956,0.016260521,0.012713592,-0.000471942,0.004461778,0.012906541,0.045219438,0.01165292,-0.009839913,-0.001290489
0,0.00402415,0.005915355,-0.001356652,0.006414309,0.005095391,-0.001081619,0.009402125,0.003801437,-0.003604535
0.017017526,-0.00402415,0.001933086,0.001356652,0.000671192,0.00385458,0.022491005,0.000284711,-2.26E-05,0.003217713
